MES,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
1,34.0,9.5,82.0,27.5,28.0,46.0,25.5,14.0,13.0,6.0
2,0.0,78.0,1.6,8.5,6.5,1.0,1.5,46.5,0.0,30.0
3,27.5,39.5,9.0,179.0,12.5,18.5,1.5,46.5,9.6,1.0
4,60.0,0.0,49.0,30.0,26.0,10.0,31.083333333333332,46.5,0.0,12.333333333333334
5,44.5,23.5,18.0,106.0,164.0,46.0,31.083333333333332,46.5,0.0,12.333333333333334
6,241.5,58.5,58.0,128.0,139.0,133.0,31.083333333333332,46.5,0.0,12.333333333333334
7,78.5,112.5,40.5,68.5,70.5,40.0,27.0,46.5,133.5,12.333333333333334
8,109.0,54.0,56.5,49.0,163.5,98.5,5.0,46.5,31.0,12.333333333333334
9,163.0,347.5,423.5,98.5,91.5,26.5,126.0,46.5,91.5,12.333333333333334
10,58.0,92.5,381.0,154.5,8.0,56.0,31.083333333333332,79.0,75.5,12.333333333333334
11,66.5,2.0,32.5,49.5,70.95,8.0,31.083333333333332,46.5,3.5,12.333333333333334
12,155.5,16.5,10.5,4.0,70.95,4.0,31.083333333333332,46.5,0.0,12.333333333333334
