MES,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
1,17.9,21.5,18.4,16.5,21.9,21.8,20.3,22.2,16.4,12.6
2,20.5,24.0,24.6,18.4,22.6,21.1,21.0,23.4,18.0,18.5
3,25.0,24.5,25.5,21.4,27.2,25.4,24.1,23.4,23.1,23.0
4,27.3,27.3,26.9,27.2,30.4,28.2,25.816666666666666,23.4,24.6,18.033333333333335
5,29.4,29.6,30.1,28.2,29.5,30.2,25.816666666666666,23.4,31.0,18.033333333333335
6,29.2,30.9,30.8,27.8,29.9,29.2,25.816666666666666,23.4,32.8,18.033333333333335
7,30.0,29.8,31.0,28.5,30.9,29.8,29.8,23.4,25.7,18.033333333333335
8,29.5,31.1,29.2,29.9,29.4,30.6,30.9,23.4,26.5,18.033333333333335
9,28.5,28.8,27.5,28.6,29.0,29.9,28.8,23.4,26.0,18.033333333333335
10,26.7,27.0,26.1,27.1,28.3,28.2,25.816666666666666,24.6,23.8,18.033333333333335
11,23.8,25.2,20.0,24.4,27.909999999999997,25.2,25.816666666666666,23.4,21.7,18.033333333333335
12,22.0,22.4,21.6,21.9,27.909999999999997,25.0,25.816666666666666,23.4,18.6,18.033333333333335
