MES,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
1,34.5,34.5,37.0,30.0,36.0,38.5,39.0,40.5,28.0,28.0
2,38.0,37.0,38.0,31.0,37.5,38.0,42.0,39.25,30.0,33.0
3,38.5,37.0,43.0,33.0,43.5,40.0,46.0,39.25,40.0,38.0
4,42.0,44.5,43.0,39.0,48.0,45.0,43.166666666666664,39.25,38.0,33.0
5,38.5,45.0,43.0,37.0,41.5,46.0,43.166666666666664,39.25,42.0,33.0
6,40.0,46.0,43.0,37.0,42.5,41.0,43.166666666666664,39.25,41.0,33.0
7,39.0,42.5,43.5,38.5,43.0,40.5,41.0,39.25,34.0,33.0
8,39.5,43.0,39.0,40.0,42.5,43.5,44.0,39.25,37.0,33.0
9,38.0,41.0,37.0,38.5,41.0,46.5,47.0,39.25,37.0,33.0
10,38.0,41.0,35.5,38.0,40.0,43.0,43.166666666666664,38.0,36.0,33.0
11,38.0,38.0,31.5,35.0,41.55,38.5,43.166666666666664,39.25,35.0,33.0
12,33.5,36.0,40.0,38.0,41.55,41.0,43.166666666666664,39.25,33.0,33.0
