MES,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
1,24.2,28.3,26.9,21.5,29.4,29.9,28.8,29.6,21.0,15.5
2,28.3,32.0,33.1,24.5,31.0,30.1,29.9,29.950000000000003,23.8,24.5
3,32.0,31.5,34.0,26.8,36.8,34.7,34.5,29.950000000000003,30.2,30.7
4,34.4,35.5,35.7,33.0,39.5,37.8,34.6,29.950000000000003,31.8,23.566666666666666
5,35.6,37.4,39.7,34.2,38.2,38.7,34.6,29.950000000000003,36.8,23.566666666666666
6,36.2,39.3,39.7,33.6,37.9,36.4,34.6,29.950000000000003,38.3,23.566666666666666
7,36.8,38.5,40.4,34.7,39.6,38.0,37.7,29.950000000000003,30.2,23.566666666666666
8,36.1,40.5,36.0,37.4,37.3,39.3,39.9,29.950000000000003,32.0,23.566666666666666
9,34.8,36.6,32.7,35.1,37.0,38.0,36.8,29.950000000000003,30.8,23.566666666666666
10,33.1,35.5,31.9,33.5,37.5,36.9,34.6,30.3,30.1,23.566666666666666
11,29.8,34.5,24.9,29.8,36.42,34.7,34.6,29.950000000000003,26.9,23.566666666666666
12,27.8,30.9,30.3,27.9,36.42,34.8,34.6,29.950000000000003,24.3,23.566666666666666
