MES,2018,2019,2020,2021,2022,2023,2024,2025
1,58.5,19.0,58.0,10.0,17.0,0.0,20.4,2.5
2,6.0,5.0,12.5,4.0,7.0,4.0,20.4,2.5
3,22.0,10.5,0.0,10.0,0.0,2.0,20.4,0.0
4,83.5,0.0,0.0,0.0,18.0,44.0,20.4,1.6666666666666667
5,22.0,22.0,31.5,127.5,0.0,78.0,20.4,1.6666666666666667
6,59.0,29.0,95.0,64.0,41.0,67.0,20.4,1.6666666666666667
7,19.0,68.0,26.0,21.0,17.0,0.0,57.0,1.6666666666666667
8,56.0,0.0,28.0,78.5,8.0,58.0,20.4,1.6666666666666667
9,32.0,46.5,128.5,38.0,22.5,0.0,11.0,1.6666666666666667
10,30.0,72.5,57.5,10.0,12.0,43.0,21.5,1.6666666666666667
11,16.0,9.5,57.5,11.0,14.5,18.0,5.0,1.6666666666666667
12,7.0,17.5,0.0,34.0,4.0,11.0,7.5,1.6666666666666667
