MES,2018,2019,2020,2021,2022,2023,2024,2025
1,80.5,49.5,94.0,16.5,37.0,0.0,69.2,6.5
2,7.0,19.0,24.5,9.5,16.5,7.0,69.2,5.0
3,26.0,27.0,0.0,12.0,0.0,4.0,69.2,0.0
4,119.5,0.0,0.0,0.0,27.0,131.0,69.2,3.8333333333333335
5,22.0,48.5,95.0,159.0,0.0,161.0,69.2,3.8333333333333335
6,160.0,71.0,171.5,151.5,182.0,93.5,69.2,3.8333333333333335
7,51.0,105.0,26.0,57.0,54.5,0.0,242.0,3.8333333333333335
8,124.5,0.0,118.0,174.0,18.5,65.5,69.2,3.8333333333333335
9,132.5,103.0,383.0,98.0,261.0,0.0,35.0,3.8333333333333335
10,166.0,146.5,57.5,25.0,57.5,127.0,40.0,3.8333333333333335
11,50.5,18.0,57.5,21.0,54.5,84.0,7.0,3.8333333333333335
12,12.0,33.5,0.0,65.77272727272727,6.5,61.0,22.0,3.8333333333333335
