MES,2018,2019,2020,2021,2022,2023,2024,2025
1,32.0,28.0,31.0,34.0,34.0,35.0,31.6,32.0
2,32.0,38.0,35.0,29.0,32.0,40.0,31.6,34.0
3,33.0,38.0,40.0,39.0,38.0,38.0,31.6,42.0
4,41.0,41.0,41.0,38.0,43.0,36.0,31.6,36.0
5,38.0,42.0,40.0,38.0,44.0,37.0,31.6,36.0
6,39.0,41.0,42.0,32.0,40.0,46.0,31.6,36.0
7,38.0,38.0,38.0,34.0,38.0,38.0,32.0,36.0
8,38.0,42.0,37.0,32.0,36.0,40.0,31.6,36.0
9,38.0,40.0,38.0,32.0,32.0,38.0,33.0,36.0
10,38.0,38.0,36.0,35.0,31.0,38.0,32.0,36.0
11,32.0,38.0,34.0,35.0,32.0,28.0,32.0,36.0
12,35.0,32.0,34.0,35.0,28.0,26.0,29.0,36.0
