MES,2018,2019,2020,2021,2022,2023,2024,2025
1,26.5,26.3,27.4,26.2,22.9,31.1,29.2,22.3
2,30.0,30.3,29.3,25.3,30.5,33.1,29.2,26.6
3,32.1,30.1,34.3,35.7,35.8,32.4,29.2,33.9
4,35.3,35.8,39.5,36.3,39.1,30.7,29.2,27.600000000000005
5,36.4,40.6,37.9,35.8,41.0,35.3,29.2,27.600000000000005
6,35.7,37.7,36.1,30.2,34.3,40.7,29.2,27.600000000000005
7,35.9,36.3,36.5,31.3,35.8,36.8,31.1,27.600000000000005
8,35.5,38.5,32.7,29.9,33.5,36.9,29.2,27.600000000000005
9,37.1,38.3,35.0,30.8,30.6,37.7,31.0,27.600000000000005
10,31.4,37.2,35.1,34.0,29.1,27.7,29.2,27.600000000000005
11,26.2,26.1,31.8,32.2,29.2,27.1,28.7,27.600000000000005
12,31.3,26.5,24.6,31.6,25.1,19.4,26.0,27.600000000000005
