MES,2018,2019,2020,2021,2022,2023,2024,2025
1,3.0,7.0,9.0,9.0,6.0,16.0,15.6,4.0
2,12.0,12.0,12.0,5.0,17.0,16.0,15.6,10.0
3,15.0,8.0,13.0,10.0,19.0,11.0,15.6,13.0
4,16.0,15.0,17.0,10.0,18.0,18.0,15.6,9.0
5,14.0,16.0,20.0,16.0,19.0,17.0,15.6,9.0
6,17.0,20.0,20.0,18.0,16.0,18.0,15.6,9.0
7,20.0,20.0,21.0,19.0,18.0,18.0,16.0,9.0
8,21.0,21.0,15.0,15.0,18.0,16.0,15.6,9.0
9,20.0,19.0,0.0,18.0,15.0,20.0,21.0,9.0
10,13.5,16.0,14.0,18.0,15.0,15.0,18.0,9.0
11,5.0,9.0,16.0,17.0,15.0,15.0,13.0,9.0
12,9.0,11.0,10.0,15.0,4.0,13.0,10.0,9.0
