MES,2018,2019,2020,2021,2022,2023,2024,2025
1,9.7,11.8,15.3,13.9,12.4,16.9,19.940000000000005,13.6
2,15.0,16.0,14.1,15.7,18.8,18.2,19.940000000000005,16.4
3,17.7,14.7,19.1,18.6,19.4,18.5,19.940000000000005,18.7
4,18.7,17.2,19.2,17.1,18.6,18.4,19.940000000000005,16.233333333333334
5,15.4,20.3,20.7,18.9,21.1,18.5,19.940000000000005,16.233333333333334
6,20.3,21.9,20.4,19.7,19.7,20.3,19.940000000000005,16.233333333333334
7,21.7,21.3,23.9,20.1,18.4,19.1,19.8,16.233333333333334
8,21.5,22.3,20.1,19.3,18.6,18.3,19.940000000000005,16.233333333333334
9,21.7,20.4,19.9,19.8,16.7,20.5,23.1,16.233333333333334
10,17.6,18.7,16.4,19.4,16.7,17.3,20.2,16.233333333333334
11,14.0,14.2,18.0,18.2,17.6,16.2,19.2,16.233333333333334
12,12.5,15.5,11.7,17.6,16.0,14.6,17.4,16.233333333333334
