MES,2015,2016,2017,2018,2019,2020,2021,2024,2025
1,16.0,16.6,20.1,16.3,19.3,19.8,19.1,18.4,17.2
2,18.0,19.2,22.2,21.4,20.6,20.0,19.1,20.1,17.2
3,19.5,22.1,23.7,22.6,20.4,24.1,22.0,23.0,17.2
4,26.1,25.0,24.2,24.2,22.4,26.7,23.9,25.1,17.2
5,26.7,26.9,26.7,26.2,26.4,26.4,26.0,29.0,17.2
6,27.1,27.1,27.7,26.5,26.8,26.5,25.3,28.2,17.2
7,27.0,27.8,26.7,26.3,26.6,27.6,25.9,27.6,17.2
8,27.9,27.4,28.2,26.9,27.1,27.6,26.4,28.0,17.2
9,27.2,27.0,26.5,27.6,27.5,26.2,27.6,24.454545454545453,17.2
10,26.0,25.4,24.1,24.4,25.6,26.0,26.8,24.2,17.2
11,23.4,22.2,22.9,20.6,21.6,23.8,23.0,24.1,17.2
12,21.0,20.9,19.1,20.0,20.1,18.9,23.3,21.3,17.2
