MES,2015,2016,2017,2018,2019,2020,2021,2024,2025
1,18.9,18.9,24.4,19.6,23.4,22.8,22.0,21.4,19.4
2,21.4,23.0,26.6,25.4,24.7,23.6,22.5,24.0,19.4
3,22.3,25.3,27.6,26.5,24.0,28.1,25.3,25.9,19.4
4,29.5,28.1,27.7,27.8,27.2,30.6,27.1,29.5,19.4
5,30.4,30.5,30.8,29.9,29.9,30.0,29.2,33.4,19.4
6,31.0,31.2,32.1,30.2,30.4,29.9,28.5,32.8,19.4
7,30.6,32.1,30.9,31.0,30.9,31.0,28.7,31.8,19.4
8,32.1,31.5,32.7,31.1,31.7,31.8,29.9,32.5,19.4
9,31.0,30.9,30.4,32.5,33.0,30.0,32.2,28.15454545454546,19.4
10,30.1,29.2,27.9,28.4,29.8,30.8,32.3,27.3,19.4
11,26.5,25.7,27.4,24.4,25.3,27.9,27.8,27.1,19.4
12,24.0,24.0,23.0,24.5,23.8,22.3,28.4,24.0,19.4
