MES,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
1,18.4,19.9,21.6,19.9,23.3,23.6,23.2,22.8,23.5,21.8,22.2
2,19.4,19.7,23.2,23.0,25.8,25.0,23.9,21.9,23.6,23.9,24.3
3,21.1,23.6,23.4,24.9,25.6,27.7,26.5,23.9,26.5,26.8,26.8
4,25.5,25.4,24.7,24.5,27.1,29.3,28.2,26.5,27.4,28.0,27.6
5,25.9,27.3,26.6,26.1,29.4,29.0,29.1,28.3,28.4,31.3,30.0
6,25.4,26.8,26.4,26.8,28.8,28.6,27.6,27.0,29.1,29.0,26.18
7,25.6,26.2,25.6,28.1,28.1,28.6,27.6,27.4,28.4,26.8,26.18
8,25.7,25.8,26.3,26.4,29.1,27.8,27.3,27.8,28.0,27.4,26.18
9,25.1,25.8,25.6,26.8,28.3,27.6,27.7,26.2,28.8,28.1,26.18
10,24.7,25.0,24.8,26.0,27.0,27.7,27.4,25.9,27.4,26.9,26.18
11,23.9,23.5,23.8,24.1,25.2,26.1,24.6,25.2,24.9,26.6,26.18
12,22.9,22.0,22.0,23.4,24.6,23.6,25.2,23.8,23.1,24.2,26.18
