MES,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
1,130.10500000000002,85.31,62.73,68.63,140.53090909090906,68.91,72.9,81.62,94.1575,57.65
2,130.10500000000002,114.02,88.08,90.07,74.2,91.94,77.7,96.46,94.1575,94.28
3,129.32,145.44,120.28,106.82,131.74,159.31,162.72,144.61,94.1575,123.75333333333333
4,142.57,190.15,145.83,203.74,172.73,170.0,230.3,106.72,94.1575,219.33
5,176.79,130.33363636363637,184.41,225.81,199.47,225.52,272.26,148.3,94.1575,123.75333333333333
6,169.73,201.4,182.35,206.04,183.32,158.32,193.93,210.01,94.1575,123.75333333333333
7,160.0,142.94,202.72,150.185,193.25,154.99,145.6645454545455,171.88,94.1575,123.75333333333333
8,142.8,171.06,177.99,150.185,174.87,177.85,217.49,187.59,94.1575,123.75333333333333
9,133.53,119.82,152.42,150.185,129.29,144.11,128.78,215.28,116.51,123.75333333333333
10,117.2,101.82,116.68,150.185,122.29,116.8,103.41,111.86,113.99,123.75333333333333
11,66.96,94.55,81.8,150.185,93.09,87.56,71.63,66.24,88.39,123.75333333333333
12,62.15,67.16,60.77,150.185,71.59,94.65,71.19,40.26,57.74,123.75333333333333
