MES,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
1,46.53,6.0,17.5,27.5,0.0,7.1,13.4,8.3,25.925,6.9
2,46.53,18.0,10.0,2.9,6.2,13.4,13.4,8.1,25.925,7.8
3,26.5,15.6,8.2,7.8,6.4,8.1,4.2,13.9,25.925,7.433333333333333
4,101.5,18.5,17.2,0.0,108.0,30.0,16.3,93.0,25.925,7.6
5,21.0,41.35454545454545,33.0,17.9,98.7,71.5,8.6,73.5,25.925,7.433333333333333
6,42.3,13.0,49.0,59.3,73.0,66.5,34.0,22.8,25.925,7.433333333333333
7,19.0,84.0,22.6,19.23333333333333,9.2,26.7,18.136363636363637,24.0,25.925,7.433333333333333
8,40.0,32.0,38.0,19.23333333333333,22.0,91.3,7.3,27.0,25.925,7.433333333333333
9,55.3,90.5,52.5,19.23333333333333,120.0,48.6,31.6,0.0,35.0,7.433333333333333
10,36.3,154.4,61.0,19.23333333333333,17.3,61.0,33.2,32.0,49.8,7.433333333333333
11,103.6,15.5,33.5,19.23333333333333,24.0,24.6,22.9,21.6,9.7,7.433333333333333
12,19.8,7.4,10.8,19.23333333333333,0.8,2.0,14.6,28.1,9.2,7.433333333333333
