MES,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
1,130.58,11.29,52.81,49.72,0.0,19.1,38.22,16.6,53.02499999999999,19.05
2,130.58,35.8,19.62,9.1,17.91,26.31,28.91,12.1,53.02499999999999,27.6
3,35.11,18.31,35.7,34.1,13.0,12.4,6.0,23.2,53.02499999999999,18.650000000000002
4,224.8,24.81,73.51,0.0,166.41,49.4,26.91,235.1,53.02499999999999,9.3
5,48.23,118.46909090909092,35.0,19.91,264.1,118.7,8.6,212.5,53.02499999999999,18.650000000000002
6,174.11,17.3,129.2,114.72,210.01,188.8,191.0,28.6,53.02499999999999,18.650000000000002
7,60.0,281.42,60.7,37.925000000000004,12.21,86.0,62.66909090909091,71.6,53.02499999999999,18.650000000000002
8,177.51,102.3,92.2,37.925000000000004,103.01,191.5,7.5,55.9,53.02499999999999,18.650000000000002
9,265.23,436.7,148.41,37.925000000000004,426.41,148.8,245.4,0.0,83.5,18.650000000000002
10,119.0,332.72,225.1,37.925000000000004,25.0,114.5,62.1,121.9,78.6,18.650000000000002
11,146.91,26.0,61.72,37.925000000000004,46.2,31.8,51.62,77.1,12.2,18.650000000000002
12,54.9,16.51,21.4,37.925000000000004,0.82,2.0,23.1,90.62,37.8,18.650000000000002
