MES,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
1,27.25,21.4,17.4,20.1,26.70909090909091,20.8,18.8,22.5,25.699999999999996,18.7
2,27.25,24.4,24.1,23.0,21.0,20.8,19.1,21.8,25.699999999999996,23.0
3,25.0,26.0,25.4,23.0,26.1,24.5,22.9,26.3,25.699999999999996,23.26666666666667
4,27.6,28.6,26.4,26.9,29.7,27.0,28.0,26.2,25.699999999999996,28.1
5,30.2,26.09090909090909,29.7,32.0,29.2,29.8,32.5,28.6,25.699999999999996,23.26666666666667
6,29.2,31.4,30.2,31.3,28.4,29.0,30.3,32.1,25.699999999999996,23.26666666666667
7,29.8,29.0,30.5,26.05,31.4,28.9,31.2,30.2,25.699999999999996,23.26666666666667
8,29.5,30.0,30.0,26.05,29.9,28.6,28.0,31.4,25.699999999999996,23.26666666666667
9,28.9,28.1,30.0,26.05,27.8,27.5,25.1,31.8,29.1,23.26666666666667
10,27.0,25.2,25.8,26.05,26.0,26.3,23.0,27.4,26.2,23.26666666666667
11,23.3,23.9,21.4,26.05,24.2,22.7,21.1,21.6,25.4,23.26666666666667
12,22.0,19.0,20.2,26.05,20.1,23.1,25.5,20.4,22.1,23.26666666666667
