MES,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
1,38.35,36.0,33.0,30.5,38.45454545454545,31.5,32.0,35.0,34.375,34.0
2,38.35,38.0,34.0,37.0,33.0,36.0,35.0,40.0,34.375,38.0
3,41.5,40.0,38.5,36.0,38.0,39.0,36.5,41.0,34.375,38.5
4,45.0,46.0,43.0,44.0,42.5,42.0,43.5,41.0,34.375,43.5
5,41.0,37.68181818181818,39.5,42.5,40.0,44.0,45.0,37.5,34.375,38.5
6,39.0,42.0,40.0,42.0,42.5,39.0,43.0,44.0,34.375,38.5
7,38.0,37.0,41.0,38.666666666666664,42.0,40.5,38.09090909090909,39.0,34.375,38.5
8,38.0,38.0,39.5,38.666666666666664,41.0,40.0,41.5,46.0,34.375,38.5
9,39.5,36.5,40.0,38.666666666666664,42.0,37.0,39.5,41.5,36.5,38.5
10,35.5,36.0,37.0,38.666666666666664,36.5,36.5,36.0,41.5,35.0,38.5
11,34.5,33.5,34.0,38.666666666666664,33.0,33.0,34.5,34.0,35.0,38.5
12,31.5,31.5,35.0,38.666666666666664,32.5,34.0,32.5,31.0,31.0,38.5
