MES,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
1,17.5,7.0,6.0,7.0,15.954545454545455,0.0,6.0,6.5,16.125,6.0
2,17.5,8.0,11.5,11.5,9.0,6.5,7.5,7.5,16.125,10.0
3,11.5,16.5,15.5,10.0,14.0,13.0,9.5,11.0,16.125,9.166666666666666
4,13.5,15.0,12.0,13.5,17.0,15.0,15.0,16.0,16.125,11.5
5,17.5,13.454545454545455,18.5,20.0,20.5,20.5,22.0,20.0,16.125,9.166666666666666
6,20.0,23.0,22.5,22.0,21.0,21.5,22.0,22.5,16.125,9.166666666666666
7,22.5,22.0,21.5,14.0,23.0,23.0,14.090909090909092,22.5,16.125,9.166666666666666
8,22.5,22.0,22.0,14.0,22.0,21.5,21.5,22.0,16.125,9.166666666666666
9,22.5,19.0,22.5,14.0,15.0,20.5,19.0,22.5,22.0,9.166666666666666
10,19.5,2.5,16.5,14.0,14.0,16.0,14.0,13.5,16.5,9.166666666666666
11,15.0,9.0,5.0,14.0,13.0,13.0,13.5,14.0,13.0,9.166666666666666
12,10.5,4.0,7.5,14.0,7.0,13.0,5.0,9.0,13.0,9.166666666666666
