MES,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
1,23.0,20.0,6.0,15.0,13.0,21.0,36.0,14.0,16.0,26.3,21.2
2,7.0,8.5,10.0,10.0,12.0,13.0,19.0,12.0,21.0,12.0,136.2
3,25.0,35.0,20.0,140.0,21.0,13.0,23.0,12.0,48.0,13.1,2.4
4,16.0,64.0,20.0,28.0,15.0,28.0,21.0,19.0,28.0,56.0,12.1
5,15.0,17.0,54.5,48.0,34.0,43.0,73.0,21.0,22.0,8.1,48.2
6,117.0,25.0,70.0,223.0,38.0,110.0,53.0,95.0,28.0,95.7,44.019999999999996
7,110.0,18.0,48.0,105.0,43.0,22.0,53.0,48.0,48.0,25.1,44.019999999999996
8,53.5,28.0,290.0,51.0,48.0,47.0,52.0,29.0,98.0,32.6,44.019999999999996
9,71.0,56.0,41.0,23.0,22.0,125.0,98.0,32.0,57.0,89.1,44.019999999999996
10,68.0,27.0,43.0,65.0,24.0,15.0,19.0,68.0,58.2,78.2,44.019999999999996
11,109.0,13.0,13.0,12.0,12.0,14.0,18.0,14.0,17.2,38.1,44.019999999999996
12,5.0,18.0,38.5,16.0,15.0,22.0,13.0,12.0,48.3,18.4,44.019999999999996
