MES,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
1,52.0,97.0,18.5,69.0,57.0,89.0,137.0,69.0,44.0,79.5,93.3
2,35.0,27.0,10.0,22.0,42.0,75.0,77.0,57.0,61.0,22.7,229.6
3,156.0,66.0,114.0,330.0,153.0,37.0,71.0,74.0,145.0,52.2,4.5
4,79.0,132.5,66.0,159.5,38.0,135.0,58.0,64.0,256.0,89.7,32.0
5,116.0,69.0,223.5,142.0,75.0,242.0,396.0,111.0,192.0,8.1,250.2
6,343.0,217.5,501.5,646.5,267.0,368.0,393.0,433.0,113.0,482.4,121.91999999999999
7,187.0,98.0,333.0,178.0,259.0,225.0,313.0,379.0,307.03,251.9,121.91999999999999
8,280.0,201.0,560.0,428.0,214.0,319.0,412.0,267.0,458.0,150.5,121.91999999999999
9,372.5,224.0,311.0,256.0,257.0,461.0,517.0,420.0,314.0,298.0,121.91999999999999
10,164.0,115.0,202.0,355.0,210.0,112.01,114.0,320.0,232.01,267.1,121.91999999999999
11,240.5,76.0,23.0,54.0,63.0,58.0,102.0,100.0,88.1,56.3,121.91999999999999
12,26.0,86.0,67.5,61.0,50.0,93.0,46.0,57.0,138.0,63.8,121.91999999999999
