MES,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
1,36.5,15.2,6.8,25.6,7.0,12.2,117.2,18.2,5.9,71.2,12.7
2,6.2,9.7,9.3,11.6,8.8,30.5,24.1,6.8,12.1,7.2,43.1
3,71.5,24.3,28.3,40.0,10.1,1.0,23.9,6.4,50.5,13.9,7.4
4,40.0,9.6,31.2,16.8,6.9,44.1,20.0,31.2,96.8,50.1,7.0
5,34.1,41.0,66.8,45.6,55.6,71.7,30.2,20.0,29.5,2.7,123.2
6,108.5,101.0,135.6,56.4,62.4,107.0,92.9,92.2,65.4,105.0,38.68
7,41.2,42.3,34.7,33.5,64.3,60.1,127.0,28.5,42.5,93.2,38.68
8,30.5,180.0,136.9,56.1,42.1,121.5,85.2,43.2,54.1,82.5,38.68
9,60.0,75.4,76.0,52.2,86.9,90.2,56.2,87.7,101.5,80.0,38.68
10,28.5,42.6,60.0,52.8,64.5,27.5,24.0,107.5,36.8,88.3,38.68
11,73.9,20.0,12.1,67.9,9.6,34.1,24.6,4.3,39.4,14.5,38.68
12,9.1,50.9,6.1,12.0,10.1,5.5,5.9,107.5,20.0,16.9,38.68
