MES,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
1,28.0,28.0,31.0,31.0,27.0,28.0,31.0,31.0,31.0,32.0,31.0
2,31.0,31.0,30.0,27.0,34.0,29.0,31.0,30.0,30.0,31.0,30.0
3,29.0,31.0,30.0,30.0,30.0,32.0,32.0,31.0,33.0,33.0,30.5
4,32.0,31.0,33.0,30.0,32.0,34.0,32.0,31.0,31.0,33.0,30.5
5,28.0,30.0,30.0,27.0,33.0,30.0,32.0,32.0,30.0,35.0,30.5
6,26.0,27.0,30.0,28.0,30.0,31.0,29.0,28.0,31.0,35.0,30.5
7,28.0,27.0,26.0,30.0,27.0,27.0,26.0,27.0,29.0,27.0,30.5
8,27.0,27.0,28.0,26.0,29.0,29.0,27.0,27.0,29.0,28.0,30.5
9,27.0,28.0,26.0,27.0,27.0,28.0,26.0,26.0,28.0,29.0,30.5
10,30.0,26.0,29.0,29.0,27.0,29.0,33.0,28.0,30.0,25.0,30.5
11,27.0,32.0,27.0,29.0,30.0,30.0,26.0,26.0,31.0,26.0,30.5
12,31.0,31.0,27.0,31.0,30.0,28.0,33.0,28.0,33.0,23.0,30.5
