MES,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
1,19.5,19.9,22.9,17.9,20.2,21.3,20.8,20.9,23.4,21.4,17.5
2,20.4,20.1,25.0,23.6,25.1,21.8,22.4,21.4,23.8,23.5,21.5
3,21.2,23.8,23.2,23.8,23.2,25.6,24.1,23.9,25.5,25.0,19.5
4,25.4,25.4,24.8,23.8,25.9,27.6,26.6,26.3,25.3,27.0,19.5
5,24.5,26.2,26.4,23.9,27.9,25.4,25.8,28.0,25.8,31.7,19.5
6,23.4,24.7,24.6,25.1,25.7,25.5,24.0,24.2,26.8,27.2,19.5
7,24.6,25.0,23.9,25.4,25.3,25.5,24.4,24.5,25.5,24.3,19.5
8,25.0,24.6,25.0,24.3,26.5,24.8,24.1,24.9,25.5,24.8,19.5
9,23.9,24.5,23.7,24.9,25.0,23.4,24.4,22.8,25.7,24.4,19.5
10,24.3,23.6,23.1,23.5,24.1,24.5,25.0,22.6,23.9,21.0,19.5
11,23.3,22.6,23.3,22.2,22.1,23.5,22.0,23.3,21.7,20.7,19.5
12,23.4,22.9,21.7,22.2,22.8,21.0,25.0,22.6,20.6,18.5,19.5
