MES,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
1,7.0,4.0,7.0,4.0,4.0,7.0,7.0,7.0,4.0,9.0,6.0
2,7.0,4.0,8.0,6.0,9.0,5.0,5.0,2.0,6.0,6.0,12.0
3,9.0,9.0,10.0,11.0,9.0,7.0,9.0,6.0,4.0,11.0,9.0
4,12.0,10.0,10.0,9.0,10.0,13.0,10.0,9.0,8.0,11.0,2.0
5,13.0,12.0,11.0,12.0,15.0,13.0,13.0,12.0,14.0,18.0,7.25
6,13.0,13.0,14.0,14.0,14.0,10.0,15.0,13.0,14.0,16.0,7.25
7,14.0,13.0,13.0,13.0,13.0,11.0,14.0,14.0,16.0,11.0,7.25
8,14.0,14.0,13.0,13.0,14.0,11.0,12.0,14.0,14.0,15.0,7.25
9,14.0,13.0,13.0,14.0,14.0,14.0,13.0,13.0,15.0,14.0,7.25
10,12.0,11.0,10.0,13.0,13.0,11.0,10.0,12.0,10.0,12.0,7.25
11,12.0,10.0,9.0,5.0,11.0,10.0,9.0,10.0,11.0,9.0,7.25
12,9.0,10.0,4.0,5.0,8.0,7.0,9.0,12.0,7.0,10.0,7.25
