MES,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
1,10.5,10.3,11.2,9.1,9.6,10.9,11.2,10.5,11.8,12.2,11.3
2,10.2,9.7,12.5,12.2,12.9,11.6,10.2,9.5,11.7,12.1,14.2
3,12.8,13.3,12.5,13.8,12.7,13.1,12.8,12.7,13.9,15.3,12.75
4,15.3,14.5,13.9,13.5,14.0,16.4,14.9,14.4,15.5,16.3,12.75
5,15.7,16.3,15.8,14.7,16.9,15.2,15.3,16.3,16.4,19.9,12.75
6,15.6,15.0,15.7,15.6,16.6,15.0,15.9,15.0,17.1,17.7,12.75
7,15.5,14.7,14.5,14.6,15.0,15.1,15.1,15.2,16.5,16.0,12.75
8,15.5,15.4,15.1,14.2,15.5,15.1,14.9,15.1,16.3,16.2,12.75
9,15.4,15.2,15.3,14.7,15.1,15.2,15.3,14.7,15.9,16.9,12.75
10,15.2,14.0,13.9,14.4,15.0,13.2,14.6,14.1,15.5,15.7,12.75
11,14.6,13.1,11.7,12.5,13.4,12.4,11.5,14.1,13.6,14.1,12.75
12,13.3,13.1,10.0,10.8,11.5,10.1,12.2,14.1,11.6,12.4,12.75
