MES,2017,2018,2019,2020,2021,2022,2023,2024,2025
1,6.0,9.4,14.0,17.0,153.5,18.4,2.8,22.1,14.2
2,3.7,81.92,8.5,14.1,20.3,10.9,4.2,14.5,14.8
3,4.766666666666667,47.53,8.7,2.4,8.0,10.4,105.6,5.9,47.6
4,4.766666666666667,50.3,47.9,37.3,21.1,5.5,18.1,2.0,11.7
5,4.766666666666667,47.53,55.7,33.1,46.5,6.0,12.8,0.0,34.9
6,4.766666666666667,48.5,61.7,130.3,50.9,80.6,61.4,196.5,24.639999999999997
7,4.766666666666667,47.53,35.1,61.1,50.7,27.6,30.6,55.4,24.639999999999997
8,4.766666666666667,47.53,60.2,28.4,133.0,50.2,88.8,30.5,24.639999999999997
9,4.766666666666667,47.53,37.4,51.4,61.5,63.0,54.1,44.2,24.639999999999997
10,4.766666666666667,47.53,34.1,6.3,28.9,45.8,22.5,84.8,24.639999999999997
11,4.6,47.53,2.7,7.6,38.4,24.1,17.5,0.9,24.639999999999997
12,4.766666666666667,47.53,1.6,8.2,10.2,2.3,45.7,28.5,24.639999999999997
