MES,2017,2018,2019,2020,2021,2022,2023,2024,2025
1,11.9,25.3,27.01,80.82,186.52,74.12,3.93,38.15,40.74
2,6.1,536.75,13.32,21.73,46.22,28.51,7.53,26.71,33.14
3,14.15,393.34,43.21,5.61,17.74,25.54,157.03,16.32,55.16
4,14.15,119.9,110.01,114.4,56.22,8.52,53.85,4.34,34.6
5,14.15,393.34,119.32,101.3590909090909,197.55,8.71,44.55,0.0,136.5
6,14.15,301.4,261.53,253.93,271.15,337.31,99.22,747.42,60.028
7,14.15,983.35,99.32,122.73,129.14,75.55,186.3,207.31,60.028
8,14.15,393.34,183.81,176.83,319.31,150.31,246.93,148.12,60.028
9,14.15,393.34,268.62,289.61,288.14,383.59,163.21,211.15,60.028
10,14.15,393.34,164.93,14.34,112.23,135.14,55.82,226.51,60.028
11,10.3,393.34,10.47,17.22,59.23,53.13,33.51,1.74,60.028
12,28.3,393.34,7.9,17.73,14.31,8.65,82.76,72.62,60.028
