MES,2017,2018,2019,2020,2021,2022,2023,2024,2025
1,16.6,14.2,15.7,16.6,16.3,16.1,17.7,16.8,16.5
2,18.6,15.8,19.2,17.6,16.8,16.0,18.0,17.9,18.7
3,17.533333333333335,20.0,18.6,20.4,18.9,18.7,20.6,20.8,20.6
4,17.533333333333335,20.9,20.9,23.4,21.7,22.0,21.0,22.8,20.5
5,17.533333333333335,17.7,23.5,19.799999999999997,22.0,23.8,22.0,27.1,23.1
6,17.533333333333335,4.0,22.4,21.9,21.4,21.0,23.2,23.6,19.880000000000003
7,17.533333333333335,15.433333333333335,21.3,22.1,21.0,21.2,21.5,21.4,19.880000000000003
8,17.533333333333335,15.433333333333335,22.1,21.2,21.1,21.6,21.6,21.2,19.880000000000003
9,17.533333333333335,15.433333333333335,21.4,21.1,21.3,20.0,21.4,21.6,19.880000000000003
10,17.533333333333335,15.433333333333335,20.6,19.7,20.6,19.6,20.4,19.4,19.880000000000003
11,17.4,15.433333333333335,18.2,18.2,16.9,18.9,18.0,18.8,19.880000000000003
12,17.533333333333335,15.433333333333335,17.1,15.6,18.2,16.9,16.2,17.4,19.880000000000003
