MES,2017,2018,2019,2020,2021,2022,2023,2024,2025
1,23.0,18.5,20.8,21.6,20.9,21.3,23.9,21.3,21.3
2,26.0,20.8,25.8,22.6,22.5,21.2,24.3,24.2,23.9
3,24.266666666666666,22.799999999999997,24.4,27.2,25.2,25.4,27.2,26.9,27.6
4,24.266666666666666,25.5,27.9,29.7,28.0,28.4,26.7,29.7,27.1
5,24.266666666666666,22.799999999999997,29.7,25.454545454545453,28.0,30.8,28.3,34.8,29.5
6,24.266666666666666,26.4,28.1,27.5,26.3,26.4,29.0,29.6,25.880000000000003
7,24.266666666666666,22.799999999999997,27.6,28.3,26.4,27.0,27.1,26.4,25.880000000000003
8,24.266666666666666,22.799999999999997,28.8,26.6,26.5,27.3,27.1,26.7,25.880000000000003
9,24.266666666666666,22.799999999999997,27.2,25.7,26.4,24.5,27.7,26.2,25.880000000000003
10,24.266666666666666,22.799999999999997,25.3,25.9,26.1,24.2,25.3,23.9,25.880000000000003
11,23.8,22.799999999999997,23.0,24.2,22.4,24.1,22.4,24.9,25.880000000000003
12,24.266666666666666,22.799999999999997,23.0,20.7,24.6,22.0,20.2,22.7,25.880000000000003
