MES,2017,2018,2019,2020,2021,2022,2023,2024,2025
1,6.0,5.5,2.0,6.8,9.0,6.6,5.0,8.0,7.0
2,8.6,6.2,8.6,6.4,6.0,6.2,6.2,6.6,9.4
3,7.599999999999999,8.225,9.0,8.8,9.4,5.8,10.0,10.0,8.0
4,7.599999999999999,8.8,9.0,13.8,9.2,10.0,11.6,9.6,7.2
5,7.599999999999999,8.225,14.5,10.418181818181818,11.8,12.6,11.8,16.8,11.2
6,7.599999999999999,12.4,13.8,14.0,14.8,12.6,13.8,14.6,8.559999999999999
7,7.599999999999999,8.225,13.0,13.6,13.6,13.2,14.0,14.2,8.559999999999999
8,7.599999999999999,8.225,11.2,14.2,12.2,13.8,13.2,13.4,8.559999999999999
9,7.599999999999999,8.225,13.4,13.0,13.8,12.2,12.6,15.0,8.559999999999999
10,7.599999999999999,8.225,12.8,9.0,9.5,11.0,10.2,10.8,8.559999999999999
11,8.2,8.225,10.2,9.0,7.0,11.0,10.0,6.8,8.559999999999999
12,7.599999999999999,8.225,6.6,6.0,8.0,8.2,4.9,8.8,8.559999999999999
