MES,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
1,114.02,55.51,9.0,86.02,0.01,96.03,280.02,75.06,8.01,124.0,115.5
2,10.02,1.03,62.0,73.0,7.0,35.0,7.0,39.04,14.1,4.0,71.01
3,290.02,71.02,123.01,16.02,72.04,0.0,3.0,39.02,49.02,7.0,21.0
4,90.02,95.01,20.03,57.02,47.02,43.04,25.01,4.02,98.03,5.02,26.0
5,35.05,30.0,146.03,22.02,63.0,155.0,144.51,28.03,70.53,16.52,279.01
6,212.05,307.02,199.03,229.01,323.0,413.02,376.02,405.01,116.52,709.01,512.52
7,224.07,228.05,247.07,263.03,383.0,252.01,260.03,98.36333333333333,390.5,362.52,102.5
8,218.05,584.05,251.23,566.0,443.0,377.02,480.05,98.36333333333333,373.02,249.02,5.0
9,272.05,246.03,291.01,660.0,246.0,433.54,333.03,98.36333333333333,149.04,315.01,141.5675
10,11.03,152.02,239.05,442.0,280.0,50.0,214.03,98.36333333333333,191.01,319.02,141.5675
11,1476.38,132.02,2.01,112.03,129.0,48.82,49.53,98.36333333333333,100.52,23.0,141.5675
12,147.6,187.51,1589.47,42.01,29.01,38.02,16.01,98.36333333333333,113.51,43.0,141.5675
