MES,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
1,6.2,6.7,8.2,4.1,5.9,5.4,6.4,6.5,5.9,8.1,6.4
2,7.9,7.5,7.8,7.8,8.4,8.7,8.2,6.3,6.7,9.0,8.8
3,7.8,8.4,8.4,9.1,9.1,9.9,9.8,8.3,10.3,11.5,11.6
4,10.3,10.4,10.1,9.6,10.7,10.8,9.8,11.3,9.8,12.1,10.1
5,10.6,12.5,10.3,10.2,11.6,10.0,9.6,11.2,10.7,14.1,11.9
6,9.5,9.9,10.1,10.3,10.6,9.4,8.4,8.8,11.6,10.8,9.8
7,9.6,9.7,8.9,9.9,9.6,9.3,8.7,8.733333333333334,8.8,9.2,5.0
8,10.1,9.0,9.7,9.0,9.6,8.6,8.5,8.733333333333334,9.0,9.3,9.085714285714285
9,9.6,9.3,8.4,9.1,9.1,9.6,10.1,8.733333333333334,8.7,8.9,9.085714285714285
10,8.2,7.7,8.2,9.2,8.6,8.9,8.5,8.733333333333334,8.0,6.7,9.085714285714285
11,9.0,7.1,8.3,7.8,7.3,7.8,5.5,8.733333333333334,7.8,9.1,9.085714285714285
12,10.0,7.9,8.9,5.8,7.0,6.6,6.7,8.733333333333334,3.5,7.8,9.085714285714285
