MES,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
1,16.0,16.0,19.0,16.0,18.0,16.0,18.0,18.0,18.0,19.0,19.0
2,18.0,18.0,17.0,18.0,19.0,19.0,19.0,18.0,18.0,21.0,20.0
3,17.0,20.0,19.0,18.0,19.0,21.0,20.0,21.0,22.0,21.0,21.0
4,21.0,22.0,20.0,18.0,21.0,22.0,21.0,22.0,21.0,22.0,22.0
5,20.0,22.0,21.0,20.0,22.0,19.0,19.0,22.0,21.0,25.0,22.0
6,18.0,20.0,19.0,19.0,20.0,21.0,18.0,20.0,23.0,25.0,20.8
7,18.0,18.0,19.0,19.0,19.0,19.0,18.0,20.166666666666668,20.0,19.0,5.0
8,19.0,19.0,19.0,18.0,19.0,20.0,17.0,20.166666666666668,18.0,20.0,18.542857142857144
9,19.0,18.0,18.0,18.0,18.0,20.0,19.0,20.166666666666668,18.0,20.0,18.542857142857144
10,20.0,17.0,18.0,18.0,19.0,19.0,18.0,20.166666666666668,18.0,18.0,18.542857142857144
11,18.6,18.0,18.0,19.0,18.0,19.0,17.0,20.166666666666668,18.0,19.0,18.542857142857144
12,10.0,18.0,18.8,16.0,18.0,18.0,18.0,20.166666666666668,16.0,19.0,18.542857142857144
