MES,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
1,11.4,11.4,14.5,10.8,14.7,12.3,13.3,14.0,12.8,14.8,12.4
2,13.6,13.0,14.2,15.1,16.6,16.6,16.0,13.8,14.0,16.9,14.8
3,13.2,14.2,14.8,16.4,16.3,18.1,16.8,16.8,17.9,19.0,18.2
4,16.7,17.6,17.3,16.7,18.2,18.5,17.0,18.2,17.3,19.8,17.1
5,16.9,19.9,17.8,17.5,19.5,17.5,16.5,19.4,18.1,22.3,19.4
6,15.0,16.0,16.5,17.2,17.3,16.9,14.5,14.8,18.8,17.8,16.4
7,15.3,15.3,14.7,17.0,16.4,16.8,15.5,16.166666666666668,15.2,15.7,5.0
8,15.9,14.5,15.9,16.0,16.5,15.9,14.5,16.166666666666668,15.3,15.9,14.757142857142856
9,14.7,15.5,14.0,16.5,16.0,16.5,16.3,16.166666666666668,15.4,14.8,14.757142857142856
10,14.2,13.0,14.1,16.1,16.0,16.4,14.8,16.166666666666668,14.4,12.9,14.757142857142856
11,14.7,12.0,14.7,14.7,14.7,15.1,11.4,16.166666666666668,14.6,15.4,14.757142857142856
12,10.0,13.5,15.3,13.1,14.8,14.1,14.3,16.166666666666668,9.5,14.6,14.757142857142856
