MES,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
1,1.0,1.9,2.0,-2.6,-2.8,-1.6,-0.4,-1.0,-1.1,1.3,0.5
2,2.2,2.0,1.5,0.5,0.2,0.7,0.4,-1.2,-0.7,1.2,2.8
3,2.4,2.7,2.0,1.8,1.9,1.7,2.8,-0.2,2.8,4.0,5.0
4,4.0,3.1,2.8,2.5,3.1,3.2,2.7,4.4,2.3,4.4,3.0
5,4.3,5.2,2.9,2.9,3.7,2.5,2.6,3.0,3.3,5.9,4.5
6,4.0,3.9,3.7,3.4,3.8,2.0,2.4,2.7,4.3,3.9,3.2
7,3.9,4.0,3.2,2.9,2.9,1.9,1.9,1.2833333333333334,2.5,2.7,5.0
8,4.2,3.5,3.4,2.0,2.6,1.3,2.5,1.2833333333333334,2.7,2.8,3.4285714285714284
9,4.6,3.2,2.9,1.6,2.1,2.6,3.8,1.2833333333333334,1.9,3.0,3.4285714285714284
10,2.3,2.3,2.4,2.3,1.1,1.5,2.2,1.2833333333333334,1.5,0.4,3.4285714285714284
11,3.3,2.2,1.9,0.9,-0.1,0.4,-0.4,1.2833333333333334,0.9,2.8,3.4285714285714284
12,10.0,2.3,2.6,-1.6,-0.9,-1.0,-0.9,1.2833333333333334,-2.5,1.0,3.4285714285714284
