MES,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
1,81.62,26.75,14.04,85.84,20.79,65.62,34.9,39.44,16.3,58.43,19.37
2,15.6,3.33,19.58,21.23,13.48,35.48,18.71,18.87,12.83,16.78,40.73
3,143.36,30.27,28.17,84.29,38.19,3.14,14.99,5.37,53.89,12.41,2.55
4,33.42,97.55,35.44,180.17,1.37,70.75,43.35,38.85,142.9,28.11,3.83
5,36.74,41.22,169.81,9.13,4.47,148.06,91.06,50.53,117.46,0.0,120.31
6,147.73,328.04,125.93,139.14,148.64,91.8,173.23,242.29,6.26,336.53,385.12
7,65.03,80.12,97.36,101.62,112.85,10.6,73.2,96.8,64.47,257.35,95.31833333333333
8,28.42,180.62,172.73,85.76,0.01,200.78,248.82,102.42,127.79,138.38,95.31833333333333
9,172.15,127.85,474.78,157.39,103.14,237.78,100.58,182.12,39.1,100.74,95.31833333333333
10,132.24,223.68,264.81,241.91,235.39,70.01,93.81,115.02,198.62,233.54,95.31833333333333
11,164.56,126.51,5.46,34.76,40.95,50.61,51.85,205.41,94.51,44.34,95.31833333333333
12,13.57,139.46,15.89,19.69,13.31,6.96,7.63,6.82,58.13,61.48,95.31833333333333
