MES,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
1,26.5,31.0,32.0,28.0,30.0,30.0,32.0,29.5,29.5,29.5,30.0
2,30.0,32.0,36.5,33.0,37.0,32.0,34.0,35.0,34.5,33.0,32.5
3,35.0,37.5,40.0,36.0,33.5,36.0,37.5,39.5,36.0,35.5,40.0
4,41.0,40.5,45.0,35.0,36.0,41.5,40.5,41.5,36.0,38.0,37.5
5,36.5,39.0,38.0,35.5,40.0,38.5,41.0,39.5,36.5,41.5,39.5
6,36.5,37.0,38.0,35.5,39.5,38.5,36.0,37.5,40.0,41.5,37.0
7,36.0,36.0,34.5,37.0,36.5,38.5,34.0,35.5,37.5,35.5,36.083333333333336
8,40.0,36.5,35.5,36.0,38.5,36.5,36.0,35.0,36.0,36.5,36.083333333333336
9,36.0,35.5,35.5,35.0,38.0,36.5,34.0,35.0,36.0,35.5,36.083333333333336
10,35.5,35.0,33.5,34.0,35.0,33.0,34.0,34.5,36.5,32.5,36.083333333333336
11,32.5,32.5,32.0,31.5,30.5,32.0,32.5,32.5,31.0,32.5,36.083333333333336
12,34.0,29.0,29.5,30.0,30.5,28.0,32.0,29.0,28.0,30.0,36.083333333333336
