MES,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
1,9.0,6.5,8.0,6.5,7.5,8.0,7.5,8.0,8.0,9.5,5.5
2,9.5,8.0,10.0,10.5,11.0,10.5,7.0,6.5,10.0,10.5,9.0
3,9.0,11.0,15.0,14.0,9.0,13.0,12.5,10.0,10.0,13.5,12.0
4,14.5,14.0,17.0,13.0,12.0,17.0,14.0,14.0,12.0,15.0,11.5
5,15.0,16.5,16.0,18.0,21.0,19.0,19.5,20.0,15.0,22.5,18.5
6,19.0,20.0,20.5,19.0,19.0,18.5,20.0,19.0,19.0,18.0,20.5
7,21.0,21.0,21.0,20.0,19.5,21.0,20.0,20.0,16.0,20.5,12.833333333333334
8,20.5,20.5,21.0,20.5,20.5,20.5,20.0,21.0,19.0,21.0,12.833333333333334
9,19.5,21.0,18.0,20.0,20.5,15.0,20.0,19.0,21.5,21.5,12.833333333333334
10,18.0,17.5,15.0,14.0,13.5,14.0,15.0,12.0,12.0,18.0,12.833333333333334
11,14.0,13.0,9.5,5.5,0.0,10.0,13.0,11.5,11.0,14.5,12.833333333333334
12,14.0,8.5,5.5,9.0,9.5,9.5,13.5,8.0,10.5,10.0,12.833333333333334
