MES,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
1,11.8,12.0,14.9,13.0,14.3,15.0,14.6,13.3,16.2,14.8,13.5
2,13.1,13.7,16.8,16.9,16.1,15.1,14.1,13.0,14.9,15.5,16.1
3,16.3,17.8,18.7,17.6,16.1,18.6,16.6,14.6,18.3,18.5,17.3
4,21.8,20.2,19.5,19.5,17.3,21.4,19.4,20.0,19.4,19.5,18.9
5,22.2,22.5,21.4,20.8,23.3,21.7,21.6,22.5,21.1,24.2,22.3
6,22.0,22.1,22.6,22.3,23.0,21.7,21.9,21.4,23.4,23.1,22.3
7,22.2,22.3,22.0,22.0,21.9,22.9,22.0,21.8,22.0,22.2,18.400000000000002
8,22.1,22.5,22.7,21.3,22.6,22.0,21.7,22.1,21.6,22.3,18.400000000000002
9,22.0,21.9,21.5,21.8,21.8,21.5,21.8,21.2,22.5,22.6,18.400000000000002
10,20.5,20.1,19.4,19.8,19.5,18.5,20.5,18.5,19.6,20.1,18.400000000000002
11,19.2,17.8,17.1,15.3,15.8,17.4,16.8,17.1,15.8,19.4,18.400000000000002
12,16.9,16.6,12.8,13.8,15.0,14.2,17.0,15.4,15.0,16.2,18.400000000000002
